"Sample_Name","Hill0","Hill1","Hill2","Substrate","Frequency","Substrate_Frequency","Replicate","Time","Run"
"5G_A_2",7,2.17244128084451,2.04695700852079,"Glucose",5,"5G","A",2,"run1"
"5G_A_3",5,1.86902790744442,1.70114195974512,"Glucose",5,"5G","A",3,"run1"
"5G_A_4",5,1.99347922981644,1.78681590711837,"Glucose",5,"5G","A",4,"run1"
"5G_A_5",5,1.9426550589781,1.77448407844859,"Glucose",5,"5G","A",5,"run1"
"5G_A_6",6,2.05027922367376,1.83524706102919,"Glucose",5,"5G","A",6,"run1"
"5G_A_7",5,1.90793461533739,1.69850446442052,"Glucose",5,"5G","A",7,"run1"
"5G_B_1",5,1.94247643706666,1.80934951132562,"Glucose",5,"5G","B",1,"run1"
"5G_B_2",6,2.08026286558615,2.00333679289811,"Glucose",5,"5G","B",2,"run1"
"5G_B_3",5,1.87859575590174,1.68480297930531,"Glucose",5,"5G","B",3,"run1"
"5G_B_4",4,1.92205431485765,1.76552647944735,"Glucose",5,"5G","B",4,"run1"
"5G_B_5",6,1.9804565077473,1.78818959101436,"Glucose",5,"5G","B",5,"run1"
"5G_B_6",5,1.90538127287211,1.68108493155139,"Glucose",5,"5G","B",6,"run1"
"5G_B_7",7,2.04175604049975,1.81532737941412,"Glucose",5,"5G","B",7,"run1"
"5G_C_1",6,2.01144128734199,1.8655283876513,"Glucose",5,"5G","C",1,"run1"
"5G_C_2",5,2.06714253128626,2.01171379327683,"Glucose",5,"5G","C",2,"run1"
"5G_C_3",4,1.80664972227988,1.62045448522521,"Glucose",5,"5G","C",3,"run1"
"5G_C_4",5,1.86738218289642,1.66254110754216,"Glucose",5,"5G","C",4,"run1"
"5G_C_5",6,1.87005736239962,1.66173806111413,"Glucose",5,"5G","C",5,"run1"
"5G_C_6",8,1.87535072126423,1.57339434061576,"Glucose",5,"5G","C",6,"run1"
"5G_C_7",5,1.93421320815015,1.75179532377846,"Glucose",5,"5G","C",7,"run1"
"5G_D_1",5,1.93476979950934,1.79118593849004,"Glucose",5,"5G","D",1,"run1"
"5G_D_2",7,2.16965654112856,2.04467378894824,"Glucose",5,"5G","D",2,"run1"
"5G_D_3",5,1.72224174205285,1.52255318498888,"Glucose",5,"5G","D",3,"run1"
"5G_D_4",5,1.84775052294501,1.65282061882794,"Glucose",5,"5G","D",4,"run1"
"5G_D_5",5,1.85924970339883,1.66337836208657,"Glucose",5,"5G","D",5,"run1"
"5G_D_6",4,1.86253375455482,1.6765550496329,"Glucose",5,"5G","D",6,"run1"
"5G_D_7",5,1.93771180749246,1.72269546090095,"Glucose",5,"5G","D",7,"run1"
"5G_E_1",7,1.85541232963309,1.62386010967423,"Glucose",5,"5G","E",1,"run1"
"5G_E_2",6,2.067022032706,1.98580552933934,"Glucose",5,"5G","E",2,"run1"
"5G_E_3",5,1.86757248405375,1.66584792230065,"Glucose",5,"5G","E",3,"run1"
"5G_E_4",5,1.92994591436965,1.74489522340959,"Glucose",5,"5G","E",4,"run1"
"5G_E_5",6,1.93016343016395,1.72238044067541,"Glucose",5,"5G","E",5,"run1"
"5G_E_6",6,1.82470071741131,1.5839146350535,"Glucose",5,"5G","E",6,"run1"
"5G_E_7",8,2.08794044995196,1.83155707233555,"Glucose",5,"5G","E",7,"run1"
"7C_A_1",12,3.28173929016839,2.38357893556053,"Cellulose",7,"7C","A",1,"run1"
"7C_A_2",12,3.7165659527399,2.66612822543193,"Cellulose",7,"7C","A",2,"run1"
"7C_A_3",30,4.05817949656724,2.89983639693611,"Cellulose",7,"7C","A",3,"run2"
"7C_A_4",26,3.70917661674536,2.60847593256333,"Cellulose",7,"7C","A",4,"run2"
"7C_A_5",29,3.72728446560563,2.73992251184343,"Cellulose",7,"7C","A",5,"run2"
"7C_A_6",25,3.58780573606109,2.65959113476106,"Cellulose",7,"7C","A",6,"run2"
"7C_A_7",29,3.61653385931978,2.65963237833413,"Cellulose",7,"7C","A",7,"run2"
"7C_B_1",12,3.53203562515456,2.68206224627151,"Cellulose",7,"7C","B",1,"run1"
"7C_B_2",24,3.28818388335143,2.50360249590411,"Cellulose",7,"7C","B",2,"run2"
"7C_B_3",29,3.31169776351563,2.521464283203,"Cellulose",7,"7C","B",3,"run2"
"7C_B_4",25,3.46937824607416,2.58968872823956,"Cellulose",7,"7C","B",4,"run2"
"7C_B_5",28,3.20214486305598,2.39238305304987,"Cellulose",7,"7C","B",5,"run2"
"7C_B_6",23,3.00077507030767,2.31117665936974,"Cellulose",7,"7C","B",6,"run2"
"7C_B_7",24,3.67871462825484,2.42551619680463,"Cellulose",7,"7C","B",7,"run2"
"7C_C_1",16,4.76776444884654,3.33118390668964,"Cellulose",7,"7C","C",1,"run1"
"7C_C_2",33,4.44380439110867,3.0835891558122,"Cellulose",7,"7C","C",2,"run2"
"7C_C_3",28,4.58683338938108,3.15816792028882,"Cellulose",7,"7C","C",3,"run2"
"7C_C_4",25,3.04588639843478,2.39771594219053,"Cellulose",7,"7C","C",4,"run2"
"7C_C_5",26,3.64640899994889,2.65355605407414,"Cellulose",7,"7C","C",5,"run2"
"7C_C_6",22,2.94352926301949,2.32110651386298,"Cellulose",7,"7C","C",6,"run2"
"7C_C_7",27,5.17691719550364,3.45497904459521,"Cellulose",7,"7C","C",7,"run2"
"7C_D_1",14,4.03182422863866,2.85866079900188,"Cellulose",7,"7C","D",1,"run1"
"7C_D_2",37,4.26625751436382,2.90595995873021,"Cellulose",7,"7C","D",2,"run2"
"7C_D_3",50,3.6392332759802,2.5184742152523,"Cellulose",7,"7C","D",3,"run2"
"7C_D_4",26,3.48801586726841,2.62415484545272,"Cellulose",7,"7C","D",4,"run2"
"7C_D_5",27,3.49771752865921,2.43478492845775,"Cellulose",7,"7C","D",5,"run2"
"7C_D_6",25,3.21277914087519,2.46117792347066,"Cellulose",7,"7C","D",6,"run2"
"7C_D_7",27,4.18681127397644,2.57276995787737,"Cellulose",7,"7C","D",7,"run2"
"7C_E_1",10,3.76447877037064,2.82745565273424,"Cellulose",7,"7C","E",1,"run1"
"7C_E_2",28,4.31363541558551,2.96107451372012,"Cellulose",7,"7C","E",2,"run2"
"7C_E_3",28,3.42966306895375,2.56907931320062,"Cellulose",7,"7C","E",3,"run2"
"7C_E_5",24,3.04322400670411,2.39308961914473,"Cellulose",7,"7C","E",5,"run2"
"7C_E_6",24,2.77521549963703,2.28227042599495,"Cellulose",7,"7C","E",6,"run2"
"7C_E_7",27,3.24571401305639,2.27436628784367,"Cellulose",7,"7C","E",7,"run2"
"7G_A_1",4,1.84891088671899,1.65945061959098,"Glucose",7,"7G","A",1,"run1"
"7G_A_2",7,1.89218552784179,1.63824618667068,"Glucose",7,"7G","A",2,"run1"
"7G_A_3",13,1.71954652028173,1.45390801320144,"Glucose",7,"7G","A",3,"run2"
"7G_A_4",12,2.03198971927195,1.75965070339939,"Glucose",7,"7G","A",4,"run2"
"7G_A_5",12,1.70378101353871,1.43550695145289,"Glucose",7,"7G","A",5,"run2"
"7G_A_6",9,1.94203871489004,1.66188824151065,"Glucose",7,"7G","A",6,"run2"
"7G_A_7",9,2.0499428381663,1.78122936529917,"Glucose",7,"7G","A",7,"run2"
"7G_B_1",5,1.6766907589203,1.42419720992188,"Glucose",7,"7G","B",1,"run1"
"7G_B_2",5,2.10371970746984,2.00312776093511,"Glucose",7,"7G","B",2,"run1"
"7G_B_3",9,1.79606113810092,1.53623317949279,"Glucose",7,"7G","B",3,"run2"
"7G_B_4",15,1.87788997210338,1.58285458628819,"Glucose",7,"7G","B",4,"run2"
"7G_B_5",14,1.83743898331945,1.54918046131258,"Glucose",7,"7G","B",5,"run2"
"7G_B_6",9,1.89930007000735,1.63491240699526,"Glucose",7,"7G","B",6,"run2"
"7G_B_7",9,1.91373708760103,1.66954336201295,"Glucose",7,"7G","B",7,"run2"
"7G_C_2",3,1.83677995859482,1.68338822120368,"Glucose",7,"7G","C",2,"run1"
"7G_C_3",15,1.78788383232848,1.51378801459545,"Glucose",7,"7G","C",3,"run2"
"7G_C_4",13,1.85486339424066,1.58555142091037,"Glucose",7,"7G","C",4,"run2"
"7G_C_5",15,2.01031660623085,1.72522161831957,"Glucose",7,"7G","C",5,"run2"
