"","Pseudomonas.1","Asticcacaulis","Cellvibrio","Pseudomonas.2","Cohnella","Lacunisphaera","Taibaiella","Achromobacter","Leadbetterella","Bordetella","Shinella","Stenotrophomonas","Xylophilus","Methylophilus","Pleomorphomonas","Nubsella","Devosia","Bosea","Parapedobacter","Youhaiella","Dysgonomonas","Rhodopseudomonas","Azonexus","Pigmentiphaga","Pseudaminobacter","Kaistia","Neorhizobium","Dokdonella","Sphingopyxis","Afipia","Cellulomonas","Herbaspirillum","Mesorhizobium","Phenylobacterium","Microbacterium","Kurthia","Flavobacterium","Candidatus Megaira","Pusillimonas","Saccharofermentans","Nocardioides","Megasphaera","Sporosarcina","Terrisporobacter","Anaerovorax","Terrimonas","Ellin6055","Fibrobacter","Christensenellaceae R-7 group","NK4A214 group","Chishuiella","Acinetobacter","Lachnospiraceae XPB1014 group","Lachnospiraceae UCG-008","Succiniclasticum","Rikenellaceae RC9 gut group","Enterococcus","Succinivibrionaceae UCG-001","Latilactobacillus","Rhodococcus"
"5C_C_4",0.0320231337688765,0.277498125736318,0.343900610474456,0.00664024847381386,0.00921066723787084,0.145764164078398,0.0423048088251044,0.0014994109456999,0.0571918175002677,0,0.0188497376030845,0,0.0212059548034701,0.00128520938202849,0.00706865160115669,0,0.00738995394666381,0.00042840312734283,0,0.00621184534647103,0.000963907036521367,0.00128520938202849,0,0.000749705472849952,0,0.000963907036521367,0,0.000963907036521367,0,0,0,0,0.000963907036521367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5C_C_5",0.0392666914406045,0.103431190387712,0.423634336677815,0.0191998018084975,0.0152359717577109,0.290969899665552,0.0296048556918122,0,0.0310912919608572,0,0.00990957512696643,0,0.0225442834138486,0.000743218134522482,0.00520252694165738,0,0.00161030595813205,0.000371609067261241,0,0,0.00185804533630621,0.000990957512696643,0,0,0,0,0,0.000495478756348322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5C_C_6",0.00387471746851792,0.07458831126897,0.760736196319018,0,0.00322893122376493,0.0652244107200517,0.0655473038424282,0,0.0151759767516952,0,0.00678075556990636,0,0,0,0,0,0.00129157248950597,0,0,0,0.00129157248950597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5C_C_7",0.0635162601626016,0.17479674796748,0.32520325203252,0,0.0177845528455285,0.197662601626016,0.0416666666666667,0,0.0503048780487805,0,0.0233739837398374,0,0.0386178861788618,0.00254065040650406,0.0111788617886179,0,0,0,0,0.00711382113821138,0,0,0.0386178861788618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5C_D_1",0.0180337405468296,0.472949389179756,0.424083769633508,0,0,0.0366492146596859,0.00930773705642816,0.00523560209424084,0.0215241419429901,0,0,0,0,0.0029086678301338,0,0,0,0,0,0.00232693426410704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5C_D_2",0.00811359026369168,0.340973630831643,0.470182555780933,0.00121703853955375,0.00141987829614604,0.100202839756592,0.0239350912778905,0.000811359026369168,0.0221095334685598,0,0.0113590263691684,0,0.00324543610547667,0.00121703853955375,0,0,0.00162271805273834,0,0,0.00385395537525355,0,0.00121703853955375,0,0,0,0.00141987829614604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5C_D_3",0.00672975814931651,0.337539432176656,0.490431125131441,0.0035751840168244,0.00231335436382755,0.102839116719243,0.010515247108307,0,0.029863301787592,0,0.00757097791798107,0,0.00315457413249211,0,0,0,0.00126182965299685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5C_D_4",0.00641025641025641,0.0656565656565657,0.787684537684538,0.00184537684537685,0.00437062937062937,0.0853729603729604,0.022047397047397,0,0.016025641025641,0,0.00310800310800311,0,0.00174825174825175,0,0,0,0,0.000194250194250194,0,0.00155400155400155,0,0,0.00233100233100233,0,0,0,0,0,0,0,0,0,0,0.000291375291375291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5C_D_5",0.00486357266507295,0.13065699447696,0.549666144588245,0.00115406809001731,0.00321490396504822,0.237738026543566,0.0206907921853104,0.000494600610007419,0.0253894979803808,0,0.00577034045008656,0,0.00214326931003215,0,0.000577034045008655,0,0.000412167175006183,0,0,0.00280273679004204,0,0.000494600610007419,0.0094798450251422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5C_D_6",0,0.0654799745708837,0.821042593769867,0.00286077558804832,0,0.0549904640813732,0.0413223140495868,0,0.00858232676414495,0,0,0,0,0,0,0,0,0,0,0.00317863954227591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5C_D_7",0.012853470437018,0.305055698371894,0.179091688089117,0,0.00342759211653813,0.280205655526992,0.0544130248500428,0,0.0565552699228792,0,0.0154241645244216,0,0.00299914310197087,0,0.00428449014567267,0,0,0.00214224507283633,0,0.0089974293059126,0,0,0.0668380462724936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5C_E_1",0.00948509485094851,0.0663956639566396,0.498193315266486,0.00542005420054201,0.011743450767841,0.317073170731707,0.018970189701897,0,0.0239385727190605,0,0.0049683830171635,0,0.0266485998193315,0.004516711833785,0.00767841011743451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
